id_venda,data,vendedor,regiao,produto,categoria,quantidade,preco_unitario,desconto,forma_pagamento,cliente
34,2024-02-28,Ana Silva,Sudeste,Webcam 4K,Perifericos,7,350.00,0.05,PIX,Streaming Pro
35,2024-03-01,Carlos Santos,Sul,Impressora HP,Eletronicos,3,1200.00,0.10,Cartao Credito,Contabilidade Sul
36,2024-03-03,Maria Costa,Nordeste,Memoria RAM 32GB,Componentes,8,580.00,0.08,PIX,Workstation Lab
37,2024-03-05,Roberto Alves,Centro-Oeste,Mouse Logitech,Perifericos,30,89.90,0.12,Boleto,Prefeitura Local
38,2024-03-07,Ana Silva,Sudeste,Roteador Mesh,Redes,6,520.00,0.00,Cartao Credito,Condominio Verde
39,2024-03-10,Carlos Santos,Sul,Headset Gamer,Perifericos,10,320.00,0.05,Cartao Debito,Lan House Max
40,2024-03-12,Maria Costa,Nordeste,Notebook Dell,Eletronicos,2,3500.00,0.05,PIX,ONG Educacao
41,2024-03-15,Roberto Alves,Centro-Oeste,Monitor LG 27,Eletronicos,4,1100.00,0.00,Cartao Credito,Design Studio
42,2024-03-18,Ana Silva,Sudeste,Cabo Ethernet Cat6,Acessorios,200,8.50,0.30,Boleto,Instaladora Redes
43,2024-03-20,Carlos Santos,Sul,SSD 1TB,Armazenamento,12,380.00,0.08,PIX,Revenda Informatica
44,2024-03-22,Maria Costa,Nordeste,Teclado Mecanico RGB,Perifericos,6,380.00,0.00,Cartao Credito,Influencer Tech
45,2024-03-25,Roberto Alves,Centro-Oeste,Notebook Lenovo,Eletronicos,3,4200.00,0.12,Cartao Credito,Engenharia Civil
46,2024-03-27,Ana Silva,Sudeste,Webcam Full HD,Perifericos,15,189.00,0.05,PIX,Telemarketing SP
47,2024-03-28,Carlos Santos,Sul,Placa Mae,Componentes,4,890.00,0.00,Boleto,Assistencia Tecnica
48,2024-03-30,Maria Costa,Nordeste,Monitor Samsung 32,Eletronicos,2,1850.00,0.10,Cartao Debito,Fotografo Pro
49,2024-03-30,Roberto Alves,Centro-Oeste,Mouse Vertical,Perifericos,20,95.00,0.00,PIX,Ergonomia Office
50,2024-03-31,Ana Silva,Sudeste,HD Externo 2TB,Armazenamento,9,450.00,0.05,Cartao Credito,Backup Solutions
